Rain24,Rain48,Rain72,RainWA,Wdirection,Wspeed,SolarHours,Class
0,23.86,25.76,49.62,208,3.2,9.2,0
3.82,37.23,67.29,108.34,63,3.7,0,1
0.48,31.02,34.84,66.34,294,1,8.4,0
0,0,10.97,10.97,230,0.6,10.1,0
0,0,0,0,189,1.8,7.3,0
3.43,4.29,4.29,12.01,181,1.5,4.4,0
0,0,1.28,1.28,143,2.6,10.9,0
0,0,0,0,237,3.7,9,0
0,2.14,2.14,4.28,102,1.4,1.6,0
0,0,0,0,164,1.3,5.2,0
0.86,0.86,0.86,2.58,40,2.6,1.1,0
0.22,0.67,2.24,3.13,47,1.6,0.1,0
0,0,0.45,0.45,323,1.3,11.4,0
0,0,0,0,290,0.8,11.4,0
0,0,0,0,307,2.4,11.4,0
0,0,0,0,205,3.6,11.4,0
0,0,0,0,121,2.6,11.4,0
0,0,2.78,2.78,179,0.4,11.4,0
0,0,0,0,251,1.2,11.4,0
0,0,0,0,117,0.6,11.4,0
0,0,0,0,85,2.4,11.4,0
0,0,0.17,0.17,249,1,2,0
0,0,0,0,166,1.4,10.5,0
0,0,1.21,1.21,142,1.5,8.2,0
0,0,0,0,237,0.5,8.7,0
2.89,2.89,2.89,8.67,50,3.9,4.3,0
0,0,0,0,56,1.7,6.2,0
0,0,0,0,108,1.6,2.8,0
0.84,0.84,0.84,2.52,37,2,6.5,0
0,0,0,0,237,2.4,2.8,0
0,0,0.48,0.48,231,2.3,5.5,0
0,0,0,0,190,3.1,10.4,0
6.77,37.69,37.69,82.15,357,1.3,8.2,0
0,0,2.42,2.42,51,2.4,12.5,0
0,0,0,0,271,2.4,5.2,0
0,6.76,9.18,15.94,291,2.2,6,0
0,6.28,6.28,12.56,165,3.2,12.7,0
0,0,0,0,298,1.3,1.9,0
0,0,0,0,217,2.1,6,0
0,0,0,0,79,3,8.6,0
0,0,0,0,236,1.1,9.3,0
0.52,2.07,2.07,4.66,247,1.5,10.1,0
0,0,0,0,221,0.6,7.9,0
0,0.94,2.81,3.75,300,1,8.2,0
0,0,0,0,251,1.2,7.3,0
9.43,9.43,9.93,28.79,329,2.4,2,0
0,0,0,0,264,3.4,5.1,0
0,9.44,19.37,28.81,31,2.6,9.4,0
0.99,0.99,1.49,3.47,249,2.2,2.3,0
1.01,1.01,1.52,3.54,251,2.4,5.5,0
0,0,0,0,19,1.8,0,0
13.73,23.9,23.9,61.53,282,2,1.7,0
0,9.66,10.68,20.34,199,2,11.4,0
0,0,0,0,87,2.3,8.4,0
0,0,0,0,293,0.6,12.4,0
0,0,0,0,192,3.2,10,0
0,0,1.03,1.03,261,1.2,11.7,0
0.5,0.5,0.5,1.5,66,2.4,5,0
0.5,2,2.5,5,257,3.1,7.8,0
0,0,0,0,185,2.4,5,0
0,1,1,2,252,1.3,11.5,0
0,0,0.5,0.5,104,3,3.9,1
0,0,0,0,243,0.6,8.4,0
0,0,0,0,106,3,1,0
0,0.5,3,3.5,233,0.7,9.6,0
35.82,35.82,35.82,107.46,204,3.1,2.5,0
6.87,6.87,6.87,20.61,46,2,6.3,1
0.49,22.57,29.44,52.5,5,0.7,3.5,1
5.4,10.8,18.65,34.85,271,1.6,6.5,0
0,0,0,0,281,1.6,3.7,0
0,0,0,0,239,2.7,3.6,0
1.99,2.49,2.49,6.97,56,5.2,5,0
0,0,0,0,268,1.8,8.8,0
0,0,0,0,63,3.7,0,0
0,0,0.5,0.5,216,3.3,6.4,0
0,0,0,0,256,2.9,6.3,0
0,0,0,0,244,2.4,11.6,0
0,0,0,0,217,3,11.3,0
0,0,23.45,23.45,82,3.6,7.5,0
0.5,5.99,5.99,12.48,250,2.2,10.5,0
12.47,15.97,15.97,44.41,331,1.1,10.8,0
0,1.5,1.5,3,258,1.2,7.1,0
0,0,0,0,288,1.4,7.2,0
0,0,0,0,183,2.2,9.9,0
0.5,0.5,0.5,1.5,63,4.4,0.5,0
0,0,0,0,258,0.6,10,0
1.99,9.98,36.43,48.4,152,2.6,9.8,0
1,1,1,3,211,2.1,9.5,0
0,0,0,0,230,0.8,5.1,0
0.97,0.97,2.44,4.38,77,5.1,3.1,0
0,0,0,0,224,0.9,10.2,0
0.48,1.93,3.38,5.79,311,2.2,9.2,0
0,13.53,34.3,47.83,212,2.5,10.5,0
9.17,10.62,10.62,30.41,263,3.4,6.2,0
0,0,0.48,0.48,210,2.5,11.8,0
0,0,1.93,1.93,265,1.3,1,0
0,0,0,0,43,2.2,11,0
0,0,2.46,2.46,258,3.1,5.8,0
0,0.49,0.49,0.98,190,2,12.4,0
0,0,0,0,261,3.6,9.4,0
0,2.96,6.9,9.86,201,3.3,11.3,0
0,0,0,0,211,3.4,11.6,0
0,2.99,23.89,26.88,223,2,8.6,0
0,0,0,0,286,2.8,11,0
0,0,0,0,261,4,6.4,0
0.5,5.48,5.97,11.95,179,2.4,6.6,0
0,0.5,1.49,1.99,76,2.9,10.8,0
0,0,0,0,225,0.5,5.1,0
0,0.99,0.99,1.98,243,1.1,7.4,0
0,0,4,4,194,1.7,11.1,0
0,0,0,0,239,2.7,4.9,0
0,27.5,32,59.5,280,1.2,1.7,0
3,11,11,25,115,5.9,0.6,0
18.5,19,22,59.5,18,5.9,0,1
1.5,1.5,1.5,4.5,172,1.7,1.6,0
6.5,8,8,22.5,5,4.1,3.7,0
0,1,4,5,261,3.1,2.8,0
26,26.5,34,86.5,276,2.8,6.1,0
8,12.5,12.5,33,230,1.2,5.5,0
9.17,13.67,37,59.84,200,1.5,1.8,0
0,0,0.33,0.33,230,5.7,8.5,0
2.5,2.5,2.5,7.5,320,3.6,11.7,0
0,0,0,0,130,4.1,7.9,0
0,0,0,0,100,3.6,4.4,0
17.67,23.17,23.17,64.01,30,3.6,0,0
0,0,0,0,140,3.1,7,0
0,0,0,0,180,1.5,11.6,0
0,0,0,0,150,6.2,11.8,0
0,0,0,0,210,4.1,8.4,0
0,0,0,0,210,4.1,9.9,0
7,7.83,7.83,22.66,10,4.6,5.9,0
0,0,10.67,10.67,110,2.1,4.2,0
0.67,1,1,2.67,30,6.2,9.9,0
7,7.67,16.67,31.34,160,3.1,0.9,0
0,0,14,14,140,2.6,8.1,0
0,0,0,0,140,5.7,6.7,0
0,0,0,0,140,2.6,8,0
0,0,0,0,140,4.1,6.9,0
0.83,0.83,0.83,2.49,100,0.5,5.8,0
0,1.67,2.5,4.17,160,5.1,2,0
0,0,0,0,70,1,8.7,0
0.67,2.34,13.67,16.68,150,3.6,8.6,0
0,0.67,2.34,3.01,0,0,7.8,0
0,0,0,0,50,3.6,7.7,0
12.83,19.16,33.16,65.15,350,4.1,0.2,0
14.67,19.67,20,54.34,150,2.6,0.2,0
0,0.33,1.83,2.16,270,5.1,5.3,0
0,0,0,0,60,4.6,2.4,0
0.33,1.83,2.5,4.66,40,2.6,3.5,0
0,2.33,7.16,9.49,250,6.7,3.5,0
3.33,4,4,11.33,30,2.1,3.5,0
4,7.33,8,19.33,130,2.1,3.5,0
0.83,4.83,8.16,13.82,160,3.1,3.5,0
0,0,0,0,20,3.6,3.5,0
0,0,0,0,170,3.6,3.5,0
0,0,0,0,130,4.6,3.5,0
0,0,0,0,150,3.6,3.5,0
0,0,0,0,130,6.2,3.5,0
0,0.67,28.34,29.01,250,7.2,10.1,0
1.33,18,32,51.33,150,4.1,11.4,0
0,1.33,18,19.33,120,1.5,10,0
1.67,2.5,2.83,7,20,3.6,9.4,0
0,2,3,5,180,3.1,8.5,0
0.67,0.67,2.67,4.01,330,2.1,11.4,0
6,6.67,6.67,19.34,150,2.6,6.6,0
1.33,10.5,24.17,36,10,1.5,4.7,0
0.33,16.83,25.33,42.49,200,2.6,10.4,0
0,0.33,16.83,17.16,170,2.6,7.4,0
0,0,0.33,0.33,60,1.5,9.2,0
1,1,11,13,190,3.1,11.5,0
2,3,3,8,230,7.7,3.4,0
0,2,3,5,180,5.7,12.4,0
0,0,2,2,20,2.1,0,0
0.83,0.83,0.83,2.49,170,3.6,9.1,0
1.67,2.5,2.5,6.67,120,2.1,0.7,0
0,0,0,0,210,2.6,12.3,0
0.33,0.33,0.33,0.99,260,2.6,11.5,0
0,2.67,4.34,7.01,230,11.8,9.4,0
0,0,2.67,2.67,180,1.5,11.6,0
5,7.5,7.5,20,170,2.6,5.3,0
2,2,7.67,11.67,360,4.1,6.4,0
4,6,6,16,320,2.6,10,0
0,0,0,0,40,2.6,12.1,0
7.67,9.67,10.17,27.51,10,2.6,0,0
0.67,12.34,20.01,33.02,50,2.6,1.8,0
0,0,0.67,0.67,240,1,10.5,0
2.83,3,3,8.83,360,3.6,9.1,0
40.67,72.67,79.17,192.51,250,4.1,0.4,0
0,0,0,0,190,3.1,7.7,0
3.17,3.17,3.17,9.51,140,1,11.3,0
4.83,13.16,16.33,34.32,40,4.1,10.7,0
3,6.83,39.33,49.16,180,5.1,1.7,0
0.67,15.67,23,39.34,210,6.7,9.4,0
0,0,0,0,250,7.7,8.5,0
0.51,4.62,4.62,9.75,151,3,5.1,0
0.5,0.5,0.5,1.5,247,12.1,8.6,0
0,0,0,0,242,0.1,6.9,0
0,3.75,3.75,7.5,176,2.2,12.5,0
0,1.6,1.6,3.2,194,4,8.7,0
0,0,0,0,56,5.9,8.8,0
0.51,0.51,0.51,1.53,204,7.7,11.8,0
0.53,0.53,2.11,3.17,297,1.9,13.3,0
0.95,0.95,0.95,2.85,215,9.4,5,0
0,0,0,0,156,1.8,10.5,0
0,0,0,0,203,6.7,14.1,0
4.63,4.63,4.63,13.89,77,5.1,2.8,0
0,0,1.09,1.09,69,4.2,9.1,0
0,18.43,23.7,42.13,248,2.8,7.2,0
0,3.69,34.22,37.91,225,6.2,3.2,0
0,0,0,0,132,1.7,11.1,0
1.07,4.8,4.8,10.67,42,1.3,7.7,0
0,0,0.67,0.67,130,2.4,12.2,0
0,0,0.52,0.52,254,1.8,11.3,0
1.05,1.05,1.05,3.15,237,6.4,7.7,0
1.61,1.61,1.61,4.83,246,6.3,5.3,0
0,3.74,9.08,12.82,284,9.1,8.3,0
5.87,13.88,13.88,33.63,55,5.9,2.9,0
9.07,24.01,27.75,60.83,132,3,1.2,0
0,0,0,0,57,7.1,3.3,0
4.8,6.4,9.6,20.8,13,3.5,6.9,0
5.87,6.94,26.68,39.49,324,3.9,0,0
0,0,0.52,0.52,96,1.5,9.4,0
0,2.63,3.68,6.31,197,2.3,12.5,0
0,0,0,0,31,3,9.3,0
0,0,0,0,204,1.8,12.4,0
2.63,18.39,20.49,41.51,338,1.9,7,0
3.15,3.15,3.15,9.45,21,2.6,6.3,0
0,1.58,3.68,5.26,296,1.6,3.9,0
0,0,0,0,142,3.2,4.3,0
0,19.23,19.77,39,210,7.5,9.2,0
5.35,37.93,56.09,99.37,56,5.3,0,0
0,0,18.16,18.16,255,0.6,10.1,0
0,0,0.52,0.52,166,2,7.3,0
0,3.56,3.56,7.12,169,2,4.4,0
0,0,6.1,6.1,140,1.9,10.9,0
0,0,0,0,219,7.4,9,0
0,7.12,7.12,14.24,9,0.9,1.6,0
0,1.53,1.53,3.06,33,1.1,5.2,0
1.01,1.01,1.01,3.03,28,5.3,1.1,0
0.5,1.51,11.12,13.13,31,4.5,0.1,0
0,0,0,0,221,8.2,11.4,0
0,0,0,0,328,5.6,11.4,1
3.54,4.55,4.55,12.64,271,6.6,11.4,1
0,1.52,1.52,3.04,207,7,11.4,0
0,0,0,0,103,1.3,11.4,0
0,0,11,11,326,0.4,11.4,0
0,0,0,0,317,0.9,11.4,0
0,0,0,0,220,1,11.4,0
0,0,0,0,115,1.5,11.4,0
0.5,0.5,4,5,67,1.3,2,0
0,0,0,0,292,0.4,10.5,0
0,7.59,10.84,18.43,99,1.2,8.2,0
0,0,0.54,0.54,99,0.3,8.7,0
3.71,3.71,4.24,11.66,31,6.2,4.3,0
0,0,0.53,0.53,226,7.9,6.2,0
0,0,0,0,139,0.9,2.8,0
1.59,1.59,1.59,4.77,37,4.2,6.5,0
34.42,34.42,34.42,103.26,62,6.2,0,0
0,0.53,3.71,4.24,228,6.5,2.8,0
0,3.09,3.09,6.18,226,6.3,5.5,0
0,0.52,0.52,1.04,176,2.9,10.4,0
6.18,18.55,18.55,43.28,350,3.6,8.2,0
0,0.51,2.57,3.08,51,3.3,12.5,1
0,0,0.51,0.51,279,4.1,8.5,0
0.52,1.55,3.09,5.16,227,9.3,8.6,0
10.83,12.37,12.37,35.57,50,3.6,0.6,0
0,25.77,25.77,51.54,149,3.7,12.7,0
0,0,0,0,324,1.6,1.9,0
0,0,0,0,220,5.9,6,0
0,0,0,0,60,4.2,8.6,0
0,0,1.03,1.03,178,2.7,9.3,0
1.03,6.71,6.71,14.45,251,1.9,10.1,0
0,0,0,0,12,0.4,7.9,0
0,3.09,4.12,7.21,354,1.5,8.2,0
0.52,1.03,2.07,3.62,278,1.9,7.3,0
8.47,8.47,8.47,25.41,340,6.4,2,0
0,0,0,0,262,2.9,9,0
0.53,11.16,14.88,26.57,259,7.1,9.4,0
1.59,1.59,4.78,7.96,230,4.4,2.3,0
2.66,2.66,5.31,10.63,233,8,5.5,0
0.53,3.19,3.19,6.91,8,3.2,0,0
0,5.32,51.02,56.34,80,4.1,0,0
0,4.75,5.28,10.03,205,3.7,11.4,0
0,0,0,0,81,1.5,8.4,0
0,0,0,0,209,2.2,11,0
0,0,0,0,198,4.4,10,0
1.05,2.11,2.64,5.8,284,1.6,11.7,0
0,0,1.05,1.05,123,3.3,10.6,1
0,0,0,0,59,2.9,9.3,0
0,0,0,0,140,0.8,5,0
6.34,13.21,17.96,37.51,266,4.8,7.8,0
0,0,0,0,152,2.3,5,0
0,0,0,0,317,1.2,9.8,0
0,3.17,5.28,8.45,117,2.2,3.9,1
0,0,0,0,160,1,8.4,0
0,0,0,0,81,2.5,1,0
0,3.71,3.71,7.42,47,0.9,4.7,0
25.44,25.44,25.44,76.32,199,4.6,2.5,0
21.2,21.2,21.2,63.6,46,3.8,6.3,0
3.17,10.59,13.77,27.53,261,6.2,6.5,0
0,0,0,0,306,2,3.7,0
0,0,0.55,0.55,232,6.7,3.6,0
0.55,1.11,30.42,32.08,219,7.6,9.2,0
0.56,0.56,0.56,1.68,269,1.1,7,0
0,0,0,0,53,3.6,0,0
0,0,0.55,0.55,220,8.8,6.4,0
0,0,0,0,248,5.2,6.3,0
0,0,0,0,234,7,11.6,0
0,0,0,0,213,7.5,11.3,0
0,1.06,18.58,19.64,102,1.9,7.5,0
1.06,2.65,2.65,6.36,225,5.5,10.5,0
15.92,18.58,18.58,53.08,336,3.2,10.8,0
0,0,0,0,78,1.2,3.4,0
0,0,36.48,36.48,314,1,7.2,0
0,0,8.04,8.04,130,1.2,0.5,0
0,0,0,0,60,5,0.5,0
0,0,0,0,24,2.5,6.1,0
18.78,61.69,77.78,158.25,166,1.5,1,0
1.61,1.61,1.61,4.83,215,5.9,9.5,0
0,0,0,0,308,1.2,5.1,0
0,0,0,0,57,8.8,0.1,1
0,8.49,8.49,16.98,204,1,3,0
0,0.53,0.53,1.06,178,1.3,10.2,0
1.06,1.06,2.13,4.25,328,5.5,9.2,0
0,15.44,33.53,48.97,221,6.1,10.5,0
5.85,13.3,13.3,32.45,271,5.5,6.2,1
5.33,19.7,25.55,50.58,176,2.6,7.4,0
0,0,0.53,0.53,216,5.9,11.8,0
0,0.53,4.26,4.79,278,2.6,1,0
0,0,0,0,26,2.6,11,0
0,0,7.65,7.65,265,5.7,5.8,1
0,0,1.64,1.64,62,1.3,10.6,0
0,5.46,5.46,10.92,198,4,12.4,0
2.19,2.19,2.19,6.57,250,5.1,9.4,0
1.09,4.92,6.01,12.02,232,7.6,11.3,0
0,0,0,0,220,8.5,11.6,0
0,2.73,27.32,30.05,222,5.3,8.6,0
0,0,0,0,307,2.7,11,0
0,0,0,0,271,4.3,6.4,0
0,0,0.55,0.55,115,1.2,10.8,1
0,0,0,0,312,1.3,10.5,0
0.54,1.08,1.08,2.7,108,1.1,5.1,0
3.79,3.79,3.79,11.37,68,2.7,0,0
1.08,2.71,3.79,7.58,169,2.5,11.1,0
0,0,0,0,221,7.6,4.9,0
57.9,67.64,82.25,207.79,290,4,0,0
0,0,0,0,60,3.2,12.5,0
0,0,0,0,244,4.6,4.1,0
21.5,21.5,21.5,64.5,35,8.6,0,1
0,0,0,0,58,2.7,10.8,0
12,12,12,36,33,10.4,0,1
26,29.5,48.5,104,32,4.3,0.1,1
6.5,9,9,24.5,128,3,4.2,0
12.5,14,14,40.5,269,0.8,7.4,0
2.5,20,25,47.5,114,1.3,6.4,0
0,2.5,20,22.5,32,3.3,4.7,0
1,1,3.5,5.5,5,2.8,3.5,0
7,8,8,23,33,1.3,5.5,0
0.5,7.5,8.5,16.5,265,3.9,5.6,0
13,18,23,54,321,2.4,5,0
11.5,24.5,29.5,65.5,324,3,5.5,0
14,25.5,38.5,78,300,5.3,1.1,0
9,23,34.5,66.5,259,7.3,4.7,0
17.5,26.5,40.5,84.5,275,7.5,3.5,1
0.17,23.2,29.47,52.84,198,1.8,1.8,0
0.58,3.54,5.66,9.78,264,4,8.5,0
0,0.58,3.54,4.12,293,2.9,11.7,0
0,0,0,0,98,3.2,7.9,0
0,0,0,0,77,3.7,4.4,0
0,0,0,0,41,3.4,0,0
0,0,4.67,4.67,146,2.5,7,0
0,0,0,0,236,2.7,11.6,0
0,0,0,0,168,4.4,11.8,0
0,0,0,0,181,3.9,8.4,0
0,0,0,0,213,3.7,9.9,0
0.35,0.35,0.35,1.05,3,1.5,5.9,0
0,2.1,14.04,16.14,121,1.5,4.2,0
0,0,0,0,22,2.9,9.9,0
0,9.89,12.03,21.92,202,2.2,0.9,0
0,3.45,17.11,20.56,156,3,8.1,0
0,0,3.45,3.45,143,2.5,6.7,0
0,0,0,0,198,2.4,8,0
0,2.93,2.93,5.86,197,2.4,6.9,0
0,0,0,0,269,2.2,5.8,0
0.04,2.11,2.11,4.26,191,4,2,0
0,0,0.04,0.04,253,1,8.7,0
0.23,8.97,14.76,23.96,205,3,8.6,0
0,0.23,8.97,9.2,207,0.7,7.8,0
0.1,10.73,10.86,21.69,45,4.8,7.7,0
4.17,9.31,49.07,62.55,344,1.1,0.2,0
2.32,2.32,5.18,9.82,140,1.9,0.2,0
0,0.21,0.25,0.46,242,1.6,5.3,0
0.72,0.72,13.98,15.42,46,2.3,3.5,0
0.5,8.32,10.09,18.91,277,3,3.5,0
0,0,0.5,0.5,335,1,3.5,0
0.29,0.29,0.29,0.87,152,2.2,3.5,0
0.83,1.12,1.12,3.07,177,2.1,3.5,0
0.39,0.39,0.39,1.17,16,2.8,3.5,0
0,0,0.39,0.39,179,3.2,3.5,0
0,0,0,0,145,3,3.5,0
0,0,0,0,146,3.1,3.5,0
0,0,0,0,113,4.2,3.5,0
0,0,0.99,0.99,263,3.4,10.1,0
0,0,0,0,303,2,7.6,0
0,0.13,4.48,4.61,75,2.2,10,0
0,0,0.56,0.56,75,0.8,9.4,0
3.74,3.74,3.74,11.22,219,2.4,8.5,0
0,3.74,3.74,7.48,313,1.6,11.4,0
0,0,3.74,3.74,165,2,6.6,0
9.76,15.48,41.01,66.25,15,0.8,4.7,0
0,6.35,26.7,33.05,171,3.9,10.4,0
0,0,6.35,6.35,205,1.4,7.4,0
0,0,0,0,240,1.7,9.2,0
0,14.19,14.23,28.42,216,2,11.5,0
0,0,14.19,14.19,272,4.2,3.4,0
0.86,0.86,0.86,2.58,206,3.5,12.4,0
0.48,1.34,1.34,3.16,25,2.2,0,0
0.64,1.12,1.98,3.74,191,3.6,9.1,0
0,0.64,1.12,1.76,205,2.3,0.7,0
0,0,0,0,211,2.9,12.3,0
0,0,0,0,269,2.4,11.5,0
0.99,0.99,0.99,2.97,236,6.6,9.4,0
0,0.99,0.99,1.98,195,1.9,11.6,0
0.09,0.09,0.09,0.27,189,2.8,5.3,0
4.03,4.03,6.33,14.39,4,1.6,6.4,0
0,4.03,4.03,8.06,290,3,10,0
0,0,0,0,37,2.4,12.1,0
2.41,2.5,11.39,16.3,113,1.3,0,0
2.03,3.41,5.82,11.26,72,2.9,1.8,0
0,0,2.03,2.03,270,2.1,10.5,0
0,0,0,0,25,2.1,9.1,0
10.57,10.95,15.81,37.33,13,1.7,0.4,0
0,0,0.56,0.56,241,2.3,7.7,0
0,0,0,0,216,0.8,11.3,0
0,2.19,2.19,4.38,34,3.3,10.7,0
0.03,2.03,5.92,7.98,221,3,1.7,0
1.13,1.54,1.57,4.24,234,3.1,9.4,0
0,0,0,0,36,2.8,2.9,0
0,3.38,3.38,6.76,23,4.6,1,0
3.86,3.86,3.86,11.58,27,3.7,0.5,0
3.85,5.3,5.3,14.45,223,1.3,3.3,0
0,0,1.5,1.5,217,2.9,11.4,0
0,3,15.5,18.5,200,2.4,12.5,0
0,0,0,0,51,2.5,5.2,0
0,0,1.5,1.5,264,2.5,6.9,0
0,0,0,0,71,2.9,7.1,0
0,0,0,0,269,1.4,9,0
0,6.56,7.03,13.59,279,2,3.7,0
0,0.47,1.4,1.87,244,2.2,7.2,0
0,0,0,0,212,3,8.8,0
2.5,2.5,2.5,7.5,55,4.7,0.3,0
3.54,4.05,7.08,14.67,286,6,0.5,0
0.48,0.48,0.48,1.44,241,4.1,11,1
0,8.6,9.08,17.68,201,3.4,2,0
17.7,17.7,17.7,53.1,231,2.1,8.4,0
0.48,5.74,23.43,29.65,102,4.3,2.5,0
0.98,5.89,15.23,22.1,189,3.1,12.6,1
0,0,0,0,105,3.7,0.3,0
0,0,0,0,356,1.7,3.1,0
0,2.46,4.91,7.37,101,1.7,10.7,0
0,0,0,0,98,2.2,0,0
1.27,5.08,6.77,13.12,226,3.3,8.7,0
0,0,1.69,1.69,273,2.6,10.1,0
4.23,4.23,4.23,12.69,133,2.6,0,0
0,2.54,2.54,5.08,217,1.8,0,0
0,2.79,16.71,19.5,91,2.3,9.1,0
2.32,2.32,2.32,6.96,141,2.2,10,0
0.46,1.39,1.39,3.24,136,3,10.3,0
0,0,1.86,1.86,95,3.9,1.6,0
0,0,0,0,354,1,1.5,0
0,0.48,0.48,0.96,178,1.2,10.3,0
0.96,0.96,0.96,2.88,323,1.7,0.4,0
0,31.16,71.43,102.59,231,3.7,6.3,0
0.49,0.49,0.49,1.47,295,2.2,2.4,0
0.95,0.95,1.42,3.32,6,2.4,7.9,0
1.43,22.94,23.9,48.27,266,4.1,4.9,1
3.83,8.61,10.04,22.48,211,5.8,9.7,0
0,0,0,0,20,3.3,3.4,0
0,0,0,0,75,4,1.6,0
0,0,2.39,2.39,25,3,7.1,0
6.13,7.07,7.54,20.74,22,2.3,5.5,0
0,0.47,5.18,5.65,213,2.2,0,0
1.42,1.42,1.42,4.26,2,1,0.3,0
0,0,0,0,58,1.3,12.8,0
1.46,1.46,3.81,6.73,16,2.1,0,0
1.45,6.8,12.14,20.39,280,2.5,11.9,0
0,0,0,0,178,1.3,11.9,0
0,0,0,0,120,3.1,11.9,0
0,0.48,7.18,7.66,263,1.4,5.7,0
9.57,17.71,18.19,45.47,257,3.3,10.5,0
0,0,0,0,287,2.3,10.1,0
0,0,0,0,145,2.2,7.7,0
0,0.48,1.44,1.92,169,1.1,10.3,0
0,0,0.47,0.47,90,3.9,5.4,0
0,0,3.77,3.77,281,2.6,10.2,0
0,0.47,3.3,3.77,142,2.4,6.4,0
0,5.18,7.53,12.71,243,1.8,10,0
0,0,2.36,2.36,197,1.6,10.2,0
0,0,0,0,260,0.7,9.3,0
7.44,9.3,20,36.74,284,2.7,8.3,0
5.98,6.44,6.44,18.86,274,4.2,9.9,0
2.91,2.91,3.39,9.21,273,2.5,0,0
7.28,7.28,7.28,21.84,21,2.4,0,1
0,0,0,0,236,2.2,1.7,0
0,0,0,0,73,3.8,12.3,0
24.24,24.24,47.04,95.52,153,2.8,0,0
0,0.86,4.25,5.11,147,3.4,12.3,0
0.43,1.28,1.28,2.99,290,2.2,6.2,0
0,0.42,0.42,0.84,244,3.5,10.9,0
0,0,0,0,244,1.1,3.8,0
11.89,11.89,11.89,35.67,355,1.2,0,0
0,0,22.86,22.86,140,1.6,10.2,0
10.74,103.99,112.78,227.51,191,3.1,11.5,0
0,0,0,0,74,3.1,9.2,1
1,5.98,14.44,21.42,206,1.9,11.3,0
0.97,0.97,0.97,2.91,266,3.7,6.7,0
0,0.48,0.48,0.96,226,1.1,12.8,0
9.21,9.21,26.17,44.59,5,2.3,2.9,0
0,0,0,0,220,2.9,8.6,0
0,0,1.49,1.49,147,3.5,12.6,0
0,1.49,1.49,2.98,338,1.7,0.8,0
5.97,15.42,15.42,36.81,236,3.9,7.1,0
4.06,4.06,4.06,12.18,334,0.9,0.5,0
0,0,0,0,237,2,7.5,0
21.8,32.44,34.47,88.71,254,3.6,8.1,1
4.57,5.58,5.58,15.73,58,1,8.1,0
2.53,25.34,25.34,53.21,234,4.5,3.7,0
0,1.02,1.02,2.04,234,4.5,7.8,0
0,5.57,17.73,23.3,234,4.5,4.2,0
0,0.51,0.51,1.02,234,4.5,9.9,0
0,0,0,0,234,4.5,8.2,1
0,0,0,0,234,4.5,9.5,0
0,0,0,0,234,4.5,8.6,0
0,2.24,3.13,5.37,234,4.5,9.8,0
0,0,0,0,234,4.5,9.5,0
4.99,4.99,6.99,16.97,254,2.6,9.8,0
9.49,26.47,27.47,63.43,202,2.2,3.3,0
0,2.99,2.99,5.98,64,2.8,10,0
0,0,0,0,252,1.9,9.6,0
0.53,0.53,22.5,23.56,252,1.2,9.1,0
7.32,7.32,7.32,21.96,228,1.7,10.1,0
0.49,0.49,0.49,1.47,300,1.7,0.3,0
0,0,3.44,3.44,252,1.7,7,0
1.48,1.48,2.46,5.42,92,1.7,3.4,0
10.31,15.72,15.72,41.75,301,2.5,4.5,0
0,0,0,0,44,4.4,0,0
0,0,0,0,292,2.9,4,0
0,0,0,0,346,1,12.3,0
0.48,0.97,0.97,2.42,213,3.1,11.5,0
0,0,0,0,94,2.2,12,0
0,0,1.45,1.45,179,2.4,8.7,0
0,0,2.51,2.51,253,1,10.2,0
22.1,22.1,22.1,66.3,312,1.1,5.3,0
0,0,4.52,4.52,239,1.2,11.8,0
0,0,0.51,0.51,358,0.8,8.3,0
0,0,3.06,3.06,241,0.6,3.4,0
0,0,0,0,66,0.6,9.4,0
3.57,4.08,6.11,13.76,314,1.1,8,0
7.64,7.64,7.64,22.92,67,3,2.7,0
0,0,0,0,74,2.4,12.4,0
0,0,0,0,236,2,4.4,0
0,0,1.02,1.02,84,1.5,4.5,0
0,0,3.14,3.14,275,2.4,2.7,0
0,0,0,0,248,1.5,12.3,0
0,4.15,6.77,10.92,248,1.9,8.8,0
1.96,1.96,1.96,5.88,52,4.2,0.3,0
3.44,7.86,10.31,21.61,246,6.6,10.2,0
3.44,3.44,3.44,10.32,81,1.6,11.6,0
1.97,1.97,4.42,8.36,250,2.6,11.3,0
0,0,0,0,266,1.2,13.3,0
12.15,12.15,12.15,36.45,354,1.4,0.3,0
0.51,17.72,64.28,82.51,137,2.9,4.9,0
0.51,3.04,3.04,6.59,95,4.5,1.9,0
0,0,0,0,297,1.7,5.8,0
0,0,0.46,0.46,221,0.6,8.1,0
0,0.46,0.46,0.92,248,2.7,11,0
0.93,0.93,1.86,3.72,212,3.4,9.9,0
0.46,11.13,13.45,25.04,250,2,8,0
0,0,0,0,247,0.4,10.8,0
0,0,0,0,195,1.6,4.4,0
0,0,4.59,4.59,76,1.7,7.2,0
0,2.05,6.64,8.69,205,0.5,6.7,0
0,1.02,6.68,7.7,255,1.4,4.5,0
6.32,13.61,35.5,55.43,243,2,8.1,0
0.49,0.49,4.86,5.84,240,2,6.1,0
22.61,22.61,22.61,67.83,275,5.8,4.3,0
6.53,6.53,21.6,34.66,273,4.3,11.3,0
