DATE,Entero,Rain24,Rain48,Rain72,RainWA,Wdirection,Wspeed,Solarhours,BeachName,BeachType,BeachDirection,Entero_level,Wspeed_level,Wdirection_level,on_offshore
1997-12-05,10.0,0.0,14.2,14.2,28.4,216,2.0,11.5,Narrow_Neck,0,1,0,1,10,0
1997-12-05,10.0,0.0,13.52,14.1,27.619999999999997,216,2.0,11.5,Milford,0,2,0,1,10,0
1997-12-05,10.0,0.0,10.42,10.42,20.84,190,3.1,11.5,Weymouth,1,10,0,1,8,1
1997-12-05,10.0,1.0,1.0,11.0,13.0,190,3.1,11.5,Clarks,1,15,0,1,8,0
1997-12-06,10.0,1.34,1.34,14.86,17.54,272,4.2,3.4,Milford,0,2,0,1,12,0
1997-12-06,10.0,0.0,0.0,14.2,14.2,272,4.2,3.4,Narrow_Neck,0,1,0,1,12,2
1997-12-06,10.0,0.0,0.0,14.19,14.19,272,4.2,3.4,Judges_Bay,1,1,0,1,12,2
1997-12-06,10.0,2.0,3.0,3.0,8.0,230,7.7,3.4,Clarks,1,15,0,1,10,2
1997-12-06,10.0,0.0,0.0,10.42,10.42,230,7.7,3.4,Weymouth,1,10,0,1,10,1
1997-12-07,10.0,0.0,0.0,0.0,0.0,180,5.7,12.4,Weymouth,1,10,0,1,8,1
1997-12-07,24.0,0.0,2.0,3.0,5.0,180,5.7,12.4,Clarks,1,15,0,1,8,0
1997-12-07,10.0,0.6,0.6,0.6,1.7999999999999998,206,3.5,12.4,Narrow_Neck,0,1,0,1,9,0
1997-12-07,10.0,0.56,1.9000000000000001,1.9000000000000001,4.36,206,3.5,12.4,Milford,0,2,0,1,9,0
1997-12-07,166.0,0.86,0.86,0.86,2.58,206,3.5,12.4,Judges_Bay,1,1,0,1,9,0
1997-12-08,82.0,0.28,0.8400000000000001,2.18,3.3000000000000003,25,2.2,0.0,Milford,0,2,0,1,1,1
1997-12-08,10.0,0.0,0.6,0.6,1.2,25,2.2,0.0,Narrow_Neck,0,1,0,1,1,1
1997-12-08,10.0,0.48,1.3399999999999999,1.3399999999999999,3.16,25,2.2,0.0,Judges_Bay,1,1,0,1,1,1
1997-12-08,10.0,0.0,0.0,0.0,0.0,20,2.1,0.0,Weymouth,1,10,0,1,1,0
1997-12-08,10.0,0.0,0.0,2.0,2.0,20,2.1,0.0,Clarks,1,15,0,1,1,1
1997-12-09,10.0,0.28,0.56,1.12,1.9600000000000002,191,3.6,9.1,Milford,0,2,0,1,8,0
1997-12-09,10.0,0.64,1.12,1.98,3.7399999999999998,191,3.6,9.1,Judges_Bay,1,1,0,1,8,0
1997-12-09,10.0,0.83,0.83,0.83,2.4899999999999998,170,3.6,9.1,Clarks,1,15,0,1,8,0
1997-12-09,10.0,0.0,0.0,0.0,0.0,170,3.6,9.1,Weymouth,1,10,0,1,8,1
1997-12-09,10.0,0.0,0.0,0.6,0.6,191,3.6,9.1,Narrow_Neck,0,1,0,1,8,0
1997-12-10,10.0,0.0,0.0,0.0,0.0,205,2.3,0.7,Narrow_Neck,0,1,0,1,9,0
1997-12-10,10.0,0.0,0.28,0.56,0.8400000000000001,205,2.3,0.7,Milford,0,2,0,1,9,0
1997-12-10,10.0,0.0,0.0,0.0,0.0,120,2.1,0.7,Weymouth,1,10,0,1,5,2
1997-12-10,10.0,0.0,0.64,1.12,1.76,205,2.3,0.7,Judges_Bay,1,1,0,1,9,0
1997-12-10,10.0,1.67,2.5,2.5,6.67,120,2.1,0.7,Clarks,1,15,0,1,5,0
1998-01-04,31.0,0.0,0.0,0.0,0.0,211,2.9,12.3,Judges_Bay,1,1,0,1,9,0
1998-01-04,10.0,0.0,0.0,0.0,0.0,211,2.9,12.3,Milford,0,2,0,1,9,0
1998-01-04,10.0,0.0,0.0,0.0,0.0,210,2.6,12.3,Clarks,1,15,0,1,9,0
1998-01-04,10.0,0.0,0.0,0.0,0.0,211,2.9,12.3,Narrow_Neck,0,1,0,1,9,0
